,tweet,class
0,niggas always yelling fuck bitches get money meanwhile theyre broke still want bitches,1
1,heard looking candy man bitch,1
2,awww meat meat feelinsi ainn n feelings bitch,1
3,well gahdamn rt wooooow good job mommy cutest thing blue ivy ever done still ugly nigger baby,0
4,rt black guy school asked colored printers library man use printer,0
5,whizzing crackers cats got amp playing hockey lol crazycats,2
6,rt exactly shit saidgtgtgt nobody think mimi outta line inviting stevie j gay nicca v,0
7,chillin homie whats left british rapper turned isis jihadi poses severed head tcot,2
8,yall tl need sleep yall got school tomorrow bitch got straight ion need go,1
9,aint never seen bitch obsessed nigga im obsessed mine,1
10,look like flappy bird,2
11,dont make make fall live nigga like meee birds amp favorite songs weeknd,1
12,yeah sting already proven draw apples oranges signs people sole purpose burying,2
13,find wanting google yellow king truedetective kidding going,2
14,tits may better looking face makes like asian latina tranny facts,0
15,lbum de fotos gaywrites making project queer students harvard highlights,0
16,u coons cant wait wear oreo js,0
17,guess also zero time mansplaining adios stfu pussy,1
18,realist bitch ever step foot soccer field every team bitch like,1
19,jose fucking mean like damn bitch lol fuck,1
20,things love weed pussy life,1
21,hes hoe cant,1
22,guy claiming republican called cspan news said republicans hate nigger obama,0
23,think okay take property break fuck bitch,0
24,arod said number wears uniform opposing teams fear fact arod damn cancer yankees,2
25,rt fuck disgusting nigger movie captain phillips red carpet oscars fuc,0
26,rt snipe youre fucking faggot fucking hope snipers get fucking raped suffer cancer,0
27,send one teabagger friends watch heads explode,2
28,hollywood underwood took shirt started screaming dark hah like horror movie nips,2
29,u monkey bars lol,2
30,never gave cracker transmitter flip sees,0
31,fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies,1
32,u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance,1
33,bill smith dds mtv odb lgbtq mma nfl aflcio bitch pick one fucking hate know proud shit,0
34,way punch bitches,1
35,tea bag bitch pahahaha,0
36,work gets rough days hahaha hoes,1
37,somebody looks like die first tubes flappy bird lol,2
38,colored contacts,2
39,never seen many perfect bitches til made twitter,1
40,wish spend go filthy theatre watch fuzzy screen bad sound annabelle,2
41,ebola great metaphor gop teaparty policies eat vital organs host dies tcot teabaggers,2
42,wow thats great language coming hs coach sure role model youre trash like account,2
43,gabbys bitch two accounts,0
44,niggasbitches cheat cause mfs always think gettin played,0
45,bright neon yellow gauntlet,2
46,racist tx trash racist wld u intvw n ask racist questions itwas disrespectful,0
47,im bitch ass elf,1
48,nigga jerry room smell like bad pussy,0
49,julie tell crybaby blacks get someone blk dress white facedniggers always whining,0
50,fucking gook,0
51,haahaa dumb bitch,1
52,tx trash know trouble w aca gop gov states like report lies anyway,2
53,low info redneck dumbasses vote corporate shills idiots like believe dummies,0
54,looks like fag time line boring zzzzzz,0
55,according place kitchen excuse take trash,2
56,lets nips ahoy spank maybe,1
57,ayo jus mini heart attack behind wheelnorth philly n fire crackers dont mix,2
58,whats symptoms ebola stomach hurting b im nervousbitch better drinking bottle,1
59,rt kennies angry talks like ghetto black man really dont even think notices hahahahahahaha im laughing,0
60,important thing temporary bullshit lies fa birds kill,1
61,lmao minds well hoe aint mean like girl lol,1
62,explains theyre waving trash bags around heads,2
63,im even shy stfu kikis mom hi angelique angelique smiles dips cracker soup,1
64,newsatquestions yeah bitch yeah bitch call _______ maybe b steveo c later jesse pinkman,1
